NR,TRAINING,N_ANSWERS,ACC,RT,CHOSEN_ANSWER_WORD,CHOSEN_ANSWER_LENGTH,CHOSEN_ANSWER_CATEGORY,TASK_WORD,TASK_LENGTH,TASK_CATEGORY,TARGET_WORD,TARGET_LENGTH,TARGET_CATEGORY,DISTRACTOR_WORD,DISTRACTOR_LENGTH,DISTRACTOR_CATEGORY,TASK_DISTRACTOR_DIFFERENCE,ANSWERS
0,False,4,,,,,,RÓ¯A,4,DRZEWA I KRZEWY,DZIK,4,ZWIERZÊTA,,,,,"[{'word': 'KOTLET', 'length': 6, 'category': 'RZECZY DO JEDZENIA'}, {'word': 'RADOM', 'length': 5, 'category': 'MIASTA POLSKI'}, {'word': 'BARBARA', 'length': 7, 'category': 'IMIONA ¯EÑSKIE'}, {'word': 'DZIK', 'length': 4, 'category': 'ZWIERZÊTA'}]"
1,False,4,False,2.8235061000159476,DZIK,4,ZWIERZÊTA,DAGMARA,7,IMIONA ¯EÑSKIE,ÆMIELÓW,7,MIASTA POLSKI,,,,,"[{'word': 'ÆMIELÓW', 'length': 7, 'category': 'MIASTA POLSKI'}, {'word': 'DZIK', 'length': 4, 'category': 'ZWIERZÊTA'}, {'word': 'BATON', 'length': 5, 'category': 'RZECZY DO JEDZENIA'}, {'word': 'JAŒMIN', 'length': 6, 'category': 'DRZEWA I KRZEWY'}]"
2,False,4,False,3.2793577999982517,LUIZA,5,IMIONA ¯EÑSKIE,LIPA,4,DRZEWA I KRZEWY,LODY,4,RZECZY DO JEDZENIA,,,,,"[{'word': 'LUIZA', 'length': 5, 'category': 'IMIONA ¯EÑSKIE'}, {'word': 'LODY', 'length': 4, 'category': 'RZECZY DO JEDZENIA'}, {'word': 'KRAKÓW', 'length': 6, 'category': 'MIASTA POLSKI'}, {'word': 'PINGWIN', 'length': 7, 'category': 'ZWIERZÊTA'}]"
3,False,4,,,,,,GDYNIA,6,MIASTA POLSKI,CHOMIK,6,ZWIERZÊTA,,,,,"[{'word': 'CHOMIK', 'length': 6, 'category': 'ZWIERZÊTA'}, {'word': 'CECYLIA', 'length': 7, 'category': 'IMIONA ¯EÑSKIE'}, {'word': 'G£ÓG', 'length': 4, 'category': 'DRZEWA I KRZEWY'}, {'word': 'KASZA', 'length': 5, 'category': 'RZECZY DO JEDZENIA'}]"
4,False,4,False,3.445796399988467,ALICJA,6,IMIONA ¯EÑSKIE,EWELINA,7,IMIONA ¯EÑSKIE,SEKWOJA,7,DRZEWA I KRZEWY,ALICJA,6,IMIONA ¯EÑSKIE,1,"[{'word': 'SEKWOJA', 'length': 7, 'category': 'DRZEWA I KRZEWY'}, {'word': 'MA£PA', 'length': 5, 'category': 'ZWIERZÊTA'}, {'word': 'TORT', 'length': 4, 'category': 'RZECZY DO JEDZENIA'}, {'word': 'ALICJA', 'length': 6, 'category': 'IMIONA ¯EÑSKIE'}]"
5,False,4,False,1.1440424000029452,SZCZUR,6,ZWIERZÊTA,PAULINA,7,IMIONA ¯EÑSKIE,BRZESKO,7,MIASTA POLSKI,,,,,"[{'word': 'BRZESKO', 'length': 7, 'category': 'MIASTA POLSKI'}, {'word': 'SZCZUR', 'length': 6, 'category': 'ZWIERZÊTA'}, {'word': 'DEREÑ', 'length': 5, 'category': 'DRZEWA I KRZEWY'}, {'word': 'D¯EM', 'length': 4, 'category': 'RZECZY DO JEDZENIA'}]"
